Reference, Value, Footprint, Datasheet, Spice_Model, Spice_Netlist_Enabled, Spice_Primitive
"J1","AudioJack2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"Q1","2SC539","Package_TO_SOT_THT:TO-92","~","Q_NPN_ECB","Y","Q"
"Q2","2SC828","Package_TO_SOT_THT:TO-92","~","Q_NPN_ECB","Y","Q"
"C3","0.002","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C5","10uF","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","~"
"C4","0.1uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"RV1","50k","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"R5","47k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R2","100k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R3","100k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R4","1.8k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R6","470k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R7","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R8","47k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"Q3","2SC828","Package_TO_SOT_THT:TO-92","~","Q_NPN_ECB","Y","Q"
"C7","10uF","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","~"
"C6","10uF","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","~"
"R10","220k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R9","3.3k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R12","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"C8","10uF","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","~"
"R14","470k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R13","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R11","150k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R21","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R16","100k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"C11","10uF","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","~"
"C12","10uF","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","~"
"Q5","2SC539","Package_TO_SOT_THT:TO-92","~","Q_NPN_ECB","Y","Q"
"C10","10uF","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","~"
"R18","1.8k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R15","470k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"C9","10uF","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","~"
"R22","47k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R23","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R24","22k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R25","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"C14","0.1uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C13","0.001uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"SW1","SW_SPDT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"RV3","50k","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"Q6","2SC539","Package_TO_SOT_THT:TO-92","~","Q_NPN_ECB","Y","Q"
"C15","10uF","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","~"
"R26","100k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R27","15k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R29","1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R28","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"C16","10uF","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","~"
"R30","100k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"J2","AudioJack2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"C1","10uF","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","~"
"D1","DA-90","Diode_THT:D_A-405_P12.70mm_Horizontal","~"
"D2","DA-90","Diode_THT:D_A-405_P12.70mm_Horizontal","~"
"R17","22k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"RV2","10k","Potentiometer_THT:Potentiometer_Vishay_43_Horizontal","~"
"Q4","2SC539","Package_TO_SOT_THT:TO-92","~","Q_NPN_ECB","Y","Q"
"R20","22k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R19","100k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"C2","10uF","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","~"
"R1","22k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
